"eez_id","svrg_flag","description"
"FR","","Amsterdam Island & St. Paul Island Exclusive Economic Zone"
"FR","","Bassas da India Exclusive Economic Zone"
"FR","","Clipperton Exclusive Economic Zone"
"FR","","Crozet Islands Exclusive Economic Zone"
"FR","","French Exclusive Economic Zone"
"FR","","French Guiana Exclusive Economic Zone"
"FR","","French Polynesian Exclusive Economic Zone"
"FR","","Guadeloupean Exclusive Economic Zone"
"FR","","Ile Europa Exclusive Economic Zone"
"FR","","Juan de Nova Exclusive Economic Zone"
"FR","","Kerguelen Exclusive Economic Zone"
"FR","","Martinican Exclusive Economic Zone"
"FR","","New Caledonian Exclusive Economic Zone"
"FR","","Réunion Exclusive Economic Zone"
"FR","","Saint-Barthélemy Exclusive Economic Zone"
"FR","","Saint-Martin Exclusive Economic Zone"
"FR","","Saint-Pierre and Miquelon Exclusive Economic Zone"
"FR","","Wallis and Futuna Exclusive Economic Zone"
"UK","","Anguilla Exclusive Economic Zone"
"UK","","Ascension Exclusive Economic Zone"
"UK","","Bermudian Exclusive Economic Zone"
"UK","","British Virgin Islands Exclusive Economic Zone"
"UK","","Cayman Islands Exclusive Economic Zone"
"UK","","Guernsey Exclusive Economic Zone"
"UK","","Jersey Exclusive Economic Zone"
"UK","","Montserrat Exclusive Economic Zone"
"UK","","Pitcairn Islands Exclusive Economic Zone"
"UK","","St. Helena Exclusive Economic Zone"
"UK","","Tristan Da Cunha Exclusive Economic Zone"
"UK","","Turks and Caicos Exclusive Economic Zone"
"UK","","United Kingdom Exclusive Economic Zone"
"US","","American Samoa Exclusive Economic Zone"
"US","","Guam Exclusive Economic Zone"
"US","","Howland and Baker Islands Exclusive Economic Zone"
"US","","Jarvis Island Exclusive Economic Zone"
"US","","Johnston Atoll Exclusive Economic Zone"
"US","","Northern Mariana Exclusive Economic Zone"
"US","","Palmyra Atoll Exclusive Economic Zone"
"US","","Puerto Rican Exclusive Economic Zone"
"US","","United States Exclusive Economic Zone"
"US","","United States Exclusive Economic Zone (Alaska)"
"US","","United States Exclusive Economic Zone (Hawaii)"
"US","","Virgin Islander Exclusive Economic Zone"
"US","","Wake Island Exclusive Economic Zone"
"AU","","Australian Exclusive Economic Zone"
"AU","","Australian Exclusive Economic Zone (Macquarie Island)"
"AU","","Christmas Island Exclusive Economic Zone"
"AU","","Cocos Islands Exclusive Economic Zone"
"AU","","Heard and McDonald Islands Exclusive Economic Zone"
"AU","","Norfolk Island Exclusive Economic Zone"
"CO","","Colombian Exclusive Economic Zone"
"CO","","Colombian Exclusive Economic Zone (Bajo Nuevo)"
"CO","","Colombian Exclusive Economic Zone (Quitasueño)"
"CO","","Colombian Exclusive Economic Zone (Serrana)"
"CO","","Colombian Exclusive Economic Zone (Serranilla)"
"ES_MA","D","Overlapping claim Alhucemas Islands: Spain / Morocco"
"ES_MA","D","Overlapping claim Chafarinas Islands: Spain / Morocco"
"ES_MA","D","Overlapping claim Melilla: Spain / Morocco"
"ES_MA","D","Overlapping claim Peñón de Vélez de la Gomera: Spain / Morocco"
"ES_MA","D","Overlapping claim Perejil Island: Spain / Morocco"
"BQ","","Bonaire Exclusive Economic Zone"
"BQ","","Saba Exclusive Economic Zone"
"BQ","","Sint-Eustatius Exclusive Economic Zone"
"CL","","Chilean Exclusive Economic Zone"
"CL","","Chilean Exclusive Economic Zone (Easter Island)"
"CL","","Chilean Exclusive Economic Zone (San Felix and San Ambrosio islands)"
"KI","","Kiribati Exclusive Economic Zone (Gilbert Islands)"
"KI","","Kiribati Exclusive Economic Zone (Line Islands)"
"KI","","Kiribati Exclusive Economic Zone (Phoenix Islands)"
"NO","","Jan Mayen Exclusive Economic Zone"
"NO","","Norwegian Exclusive Economic Zone"
"NO","","Svalvard Exclusive Economic Zone"
"PT","","Portuguese Exclusive Economic Zone"
"PT","","Portuguese Exclusive Economic Zone (Azores)"
"PT","","Portuguese Exclusive Economic Zone (Madeira)"
"BR","","Brazilian Exclusive Economic Zone"
"BR","","Brazilian Exclusive Economic Zone (Trindade)"
"CN","D","Overlapping claim South China Sea"
"CN","","Chinese Exclusive Economic Zone"
"EC","","Ecuadorian Exclusive Economic Zone"
"EC","","Ecuadorian Exclusive Economic Zone (Galapagos)"
"ES","","Spanish Exclusive Economic Zone"
"ES","","Spanish Exclusive Economic Zone (Canary Islands)"
"IN","","Indian Exclusive Economic Zone"
"IN","","Indian Exclusive Economic Zone (Andaman and Nicobar Islands)"
"MU","","Chagos Archipelago Exclusive Economic Zone"
"MU","","Mauritian Exclusive Economic Zone"
"NL","","Dutch Exclusive Economic Zone"
"NL","","Sint-Maarten Exclusive Economic Zone"
"TL","","East Timorian Exclusive Economic Zone"
"TL","","Oecussi Ambeno Exclusive Economic Zone"
"UK_AR","D","Overlapping claim Falkland / Malvinas Islands Exclusive Economic Zone: UK / Argentina"
"UK_AR","D","Overlapping claim South Georgia and South Sandwich Exclusive Economic Zone: UK / Argentina"
"ZA","","South African Exclusive Economic Zone"
"ZA","","South African Exclusive Economic Zone (Prince Edward Islands)"
