"ecoregion"|"provinc"|"realm"|"first_level_code"|"first_level"|"second_level_code"|"second_level"|"third_level_code"|"third_level"|"source"
"North Greenland"|"Arctic"|"Arctic"|"20001"|"North Greenland"|"1"|"Arctic"|"1"|"Arctic"|"meow"
"North and East Iceland"|"Arctic"|"Arctic"|"20002"|"North and East Iceland"|"1"|"Arctic"|"1"|"Arctic"|"meow"
"East Greenland Shelf"|"Arctic"|"Arctic"|"20003"|"East Greenland Shelf"|"1"|"Arctic"|"1"|"Arctic"|"meow"
"West Greenland Shelf"|"Arctic"|"Arctic"|"20004"|"West Greenland Shelf"|"1"|"Arctic"|"1"|"Arctic"|"meow"
"Northern Grand Banks - Southern Labrador"|"Arctic"|"Arctic"|"20005"|"Northern Grand Banks - Southern Labrador"|"1"|"Arctic"|"1"|"Arctic"|"meow"
"Northern Labrador"|"Arctic"|"Arctic"|"20006"|"Northern Labrador"|"1"|"Arctic"|"1"|"Arctic"|"meow"
"Hudson Complex"|"Arctic"|"Arctic"|"20008"|"Hudson Complex"|"1"|"Arctic"|"1"|"Arctic"|"meow"
"Beaufort-Amundsen-Viscount Melville-Queen Maud"|"Arctic"|"Arctic"|"20011"|"Beaufort-Amundsen-Viscount Melville-Queen Maud"|"1"|"Arctic"|"1"|"Arctic"|"meow"
"Beaufort Sea - continental coast and shelf"|"Arctic"|"Arctic"|"20012"|"Beaufort Sea - continental coast and shelf"|"1"|"Arctic"|"1"|"Arctic"|"meow"
"Chukchi Sea"|"Arctic"|"Arctic"|"20013"|"Chukchi Sea"|"1"|"Arctic"|"1"|"Arctic"|"meow"
"East Siberian Sea"|"Arctic"|"Arctic"|"20015"|"East Siberian Sea"|"1"|"Arctic"|"1"|"Arctic"|"meow"
"Laptev Sea"|"Arctic"|"Arctic"|"20016"|"Laptev Sea"|"1"|"Arctic"|"1"|"Arctic"|"meow"
"Kara Sea"|"Arctic"|"Arctic"|"20017"|"Kara Sea"|"1"|"Arctic"|"1"|"Arctic"|"meow"
"North and East Barents Sea"|"Arctic"|"Arctic"|"20018"|"North and East Barents Sea"|"1"|"Arctic"|"1"|"Arctic"|"meow"
"White Sea"|"Arctic"|"Arctic"|"20019"|"White Sea"|"1"|"Arctic"|"1"|"Arctic"|"meow"
"South and West Iceland"|"Northern European Seas"|"Temperate Northern Atlantic"|"20020"|"South and West Iceland"|"2"|"Northern European Seas"|"2"|"Temperate Northern Atlantic"|"meow"
"Faroe Plateau"|"Northern European Seas"|"Temperate Northern Atlantic"|"20021"|"Faroe Plateau"|"2"|"Northern European Seas"|"2"|"Temperate Northern Atlantic"|"meow"
"Southern Norway"|"Northern European Seas"|"Temperate Northern Atlantic"|"20022"|"Southern Norway"|"2"|"Northern European Seas"|"2"|"Temperate Northern Atlantic"|"meow"
"Northern Norway and Finnmark"|"Northern European Seas"|"Temperate Northern Atlantic"|"20023"|"Northern Norway and Finnmark"|"2"|"Northern European Seas"|"2"|"Temperate Northern Atlantic"|"meow"
