"eco_id"|"first_level_code"|"first_level"|"second_level_code"|"second_level"|"third_level_code"|"third_level"|"source"
"-9999"|-9999|"Rock and Ice"|99|"Rock and ice"|NULL|NULL|"teow"
"-9998"|-9998|"Lake"|98|"Lake"|NULL|NULL|"teow"
"10101"|10101|"Admiralty Islands lowland rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|1|"Australasia"|"teow"
"10102"|10102|"Banda Sea Islands moist deciduous forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|1|"Australasia"|"teow"
"10103"|10103|"Biak-Numfoor rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|1|"Australasia"|"teow"
"10104"|10104|"Buru rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|1|"Australasia"|"teow"
"10105"|10105|"Central Range montane rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|1|"Australasia"|"teow"
"10106"|10106|"Halmahera rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|1|"Australasia"|"teow"
"10107"|10107|"Huon Peninsula montane rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|1|"Australasia"|"teow"
"10108"|10108|"Yapen rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|1|"Australasia"|"teow"
"10109"|10109|"Lord Howe Island subtropical forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|1|"Australasia"|"teow"
"10110"|10110|"Louisiade Archipelago rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|1|"Australasia"|"teow"
"10111"|10111|"New Britain-New Ireland lowland rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|1|"Australasia"|"teow"
"10112"|10112|"New Britain-New Ireland montane rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|1|"Australasia"|"teow"
"10113"|10113|"New Caledonia rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|1|"Australasia"|"teow"
"10114"|10114|"Norfolk Island subtropical forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|1|"Australasia"|"teow"
"10115"|10115|"Northern New Guinea lowland rain and freshwater swamp forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|1|"Australasia"|"teow"
