"stid"|"schema_name"|"function_name"|"parameter_name"|"parameter_description"|"reporting_level"|"source"|"rest"|"xls_template"|"progress_code"|"xls_column_name_lv_1"|"xls_column_name_lv_2"
101|"administrative_units"|"get_country_all_inds"|"area_mar_km2"|"Total marine area of the country in km2."|"C"|"dopa"|True|True|3|"COUNTRY INFORMATION"|"Marine Area (km2)"
101|"administrative_units"|"get_country_all_inds"|"area_mar_perc"|"Total marine area of the country as a percentage of the total area of the country (GAUL + EEZ)."|"C"|"dopa"|True|True|3|"COUNTRY INFORMATION"|"Marine Area (%)"
101|"administrative_units"|"get_country_all_inds"|"area_terr_km2"|"Total terrestrial area of the country in km2."|"C"|"dopa"|True|True|3|"COUNTRY INFORMATION"|"Terrestrial Area (km2)"
101|"administrative_units"|"get_country_all_inds"|"area_terr_perc"|"Total terrestrial area of the country as a percentage of the total area of the country (GAUL + EEZ)."|"C"|"dopa"|True|True|3|"COUNTRY INFORMATION"|"Terrestrial Area (%)"
101|"administrative_units"|"get_country_all_inds"|"area_tot_km2"|"Total area in km2."|"C"|"dopa"|True|True|3|"COUNTRY INFORMATION"|"Area (km2)"
101|"administrative_units"|"get_country_all_inds"|"country_id"|"country_id"|"C"|"dopa"|True|True|3|"COUNTRY INFORMATION"|"country_id"
101|"administrative_units"|"get_country_all_inds"|"country_iso2"|"country_iso2"|"C"|"dopa"|True|True|3|"COUNTRY INFORMATION"|"ISO2"
101|"administrative_units"|"get_country_all_inds"|"country_iso3"|"country_iso3"|"C"|"dopa"|True|True|3|"COUNTRY INFORMATION"|"ISO3"
101|"administrative_units"|"get_country_all_inds"|"country_name"|"country_name"|"C"|"dopa"|True|True|3|"COUNTRY INFORMATION"|"country_name"
101|"administrative_units"|"get_country_all_inds"|"country_un_m49"|"country_un_m49"|"C"|"dopa"|True|False|3|NULL|NULL
101|"administrative_units"|"get_country_all_inds"|"status"|"status"|"C"|"dopa"|True|True|3|"COUNTRY INFORMATION"|"status"
101|"administrative_units"|"get_region_all_inds"|"area_mar_km2"|"Total marine area of the country in km2."|"C"|"dopa"|True|NULL|NULL|NULL|NULL
101|"administrative_units"|"get_region_all_inds"|"area_mar_perc"|"Total marine area of the country as a percentage of the total area of the country (GAUL + EEZ)."|"C"|"dopa"|True|NULL|NULL|NULL|NULL
101|"administrative_units"|"get_region_all_inds"|"area_terr_km2"|"Total terrestrial area of the country in km2."|"C"|"dopa"|True|NULL|NULL|NULL|NULL
101|"administrative_units"|"get_region_all_inds"|"area_terr_perc"|"Total terrestrial area of the country as a percentage of the total area of the country (GAUL + EEZ)."|"C"|"dopa"|True|NULL|NULL|NULL|NULL
101|"administrative_units"|"get_region_all_inds"|"area_tot_km2"|"Total area in km2."|"C"|"dopa"|True|NULL|NULL|NULL|NULL
101|"administrative_units"|"get_region_all_inds"|"country_id"|"country_id"|"C"|"dopa"|True|NULL|NULL|NULL|NULL
101|"administrative_units"|"get_region_all_inds"|"country_iso2"|"country_iso2"|"C"|"dopa"|True|NULL|NULL|NULL|NULL
101|"administrative_units"|"get_region_all_inds"|"country_iso3"|"country_iso3"|"C"|"dopa"|True|NULL|NULL|NULL|NULL
101|"administrative_units"|"get_region_all_inds"|"country_name"|"country_name"|"C"|"dopa"|True|NULL|NULL|NULL|NULL
101|"administrative_units"|"get_region_all_inds"|"country_un_m49"|"country_un_m49"|"C"|"dopa"|True|NULL|NULL|NULL|NULL
101|"administrative_units"|"get_region_all_inds"|"status"|"status"|"C"|"dopa"|True|NULL|NULL|NULL|NULL
102|"habitats_and_biotopes"|"get_ecoregion_all_inds"|"area_tot_km2"|"Total area in km2."|"E"|"dopa"|True|True|3|"ECOREGION INFORMATION"|"Area (km2)"
102|"habitats_and_biotopes"|"get_ecoregion_all_inds"|"biome_id"|"numerical ID for TEOW Biome, MEOW Province, PPOW Biome."|"E"|"dopa"|True|False|3|NULL|NULL
102|"habitats_and_biotopes"|"get_ecoregion_all_inds"|"biome_name"|"Name for TEOW Biome, MEOW Province, PPOW Biome."|"E"|"dopa"|True|False|3|NULL|NULL
102|"habitats_and_biotopes"|"get_ecoregion_all_inds"|"eco_id"|"Ecoregion numerical ID, as given by the original sources: Terrestrial Ecoregions of the World <a href='http://www.worldwildlife.org/publications/terrestrial-ecoregions-of-the-world' target='_meow'/>(TEOW)</a>, Marine Ecoregions of the World and Pelagic Provinces of the World <a href='http://data.unep-wcmc.org/datasets/38' target='_meow_ppow'/>(MEOW; PPOW)</a> maps."|"E"|"dopa"|True|True|3|"ECOREGION INFORMATION"|"eco_id"
102|"habitats_and_biotopes"|"get_ecoregion_all_inds"|"eco_name"|"Name of TEOW Ecoregion, MEOW Ecoregion, PPOW Province."|"E"|"dopa"|True|True|3|"ECOREGION INFORMATION"|"Name"
102|"habitats_and_biotopes"|"get_ecoregion_all_inds"|"is_marine"|"TRUE if source is MEOW or PPOW, FALSE if source is TEOW or EEOW."|"E"|"dopa"|True|True|3|"ECOREGION INFORMATION"|"Marine"
102|"habitats_and_biotopes"|"get_ecoregion_all_inds"|"realm_id"|"numerical ID for TEOW, MEOW and PPOW REALM."|"E"|"dopa"|True|False|3|NULL|NULL
102|"habitats_and_biotopes"|"get_ecoregion_all_inds"|"realm_name"|"Name for TEOW, MEOW and PPOW REALM."|"E"|"dopa"|True|False|3|NULL|NULL
102|"habitats_and_biotopes"|"get_ecoregion_all_inds"|"source"|"Terrestrial Ecoregions of the World <a href='http://www.worldwildlife.org/publications/terrestrial-ecoregions-of-the-world' target='_meow'/>(TEOW)</a>, Marine Ecoregions of the World and Pelagic Provinces of the World <a href='http://data.unep-wcmc.org/datasets/38' target='_meow_ppow'/>(MEOW; PPOW)</a> maps."|"E"|"dopa"|True|False|3|NULL|NULL
103|"protected_sites"|"get_wdpa_all_inds"|"area_tot_km2"|"Total area in km2."|"P"|"dopa"|True|True|3|"PROTECTED AREA INFORMATION"|"Area(Km2)"
103|"protected_sites"|"get_wdpa_all_inds"|"is_marine"|"is_marine"|"P"|"dopa"|True|True|3|"PROTECTED AREA INFORMATION"|"Marine"
103|"protected_sites"|"get_wdpa_all_inds"|"wdpaid"|"The unique identifier for the protected area as defined in the World Database on Protected Areas (WDPA). See the <a href='http://protectedplanet.net' target='_protectedplanet'/>Protected Planet website</a> for more information."|"P"|"dopa"|True|True|3|"PROTECTED AREA INFORMATION"|"id"
