db_name|schema_name|function_name|parameter_name|parameter_description|reporting_level|source|rest|xls_template|xls_column_name_lv_1|xls_column_name_lv_2|progress_code
d6dopa40|administrative_units|get_country_all_inds|agb_max_c_mg_prot|Maximum amount for above ground carbon in Mg (Megagrams = Tons) in the protected portion of the country|NULL|dopa|t|no|NULL|NULL|3
d6dopa40|administrative_units|get_country_all_inds|agb_max_c_mg_total|Maximum amount for above ground carbon in Mg (Megagrams = Tons) in the whole country|NULL|dopa|t|ok|ABOVE GROUND CARBON|Max  (Mg)|3
d6dopa40|administrative_units|get_country_all_inds|agb_max_c_mg_unprot|Maximum amount for above ground carbon in Mg (Megagrams = Tons) in the unprotected portion of the country|NULL|dopa|t|no|NULL|NULL|3
d6dopa40|administrative_units|get_country_all_inds|agb_mean_c_mg_prot|Mean amount for for above ground carbon in Mg (Megagrams = Tons) in the protected portion of the country|NULL|dopa|t|no|NULL|NULL|3
d6dopa40|administrative_units|get_country_all_inds|agb_mean_c_mg_total|Mean amount for for above ground carbon in Mg (Megagrams = Tons) in the whole country|NULL|dopa|t|ok|ABOVE GROUND CARBON|Average  (Mg)|3
d6dopa40|administrative_units|get_country_all_inds|agb_mean_c_mg_unprot|Mean amount for for above ground carbon in Mg (Megagrams = Tons) in the unprotected portion of the country|NULL|dopa|t|no|NULL|NULL|3
d6dopa40|administrative_units|get_country_all_inds|agb_min_c_mg_prot|Minimum amount for above ground carbon in Mg (Megagrams = Tons) in the protected portion of the country|NULL|dopa|t|no|NULL|NULL|3
d6dopa40|administrative_units|get_country_all_inds|agb_min_c_mg_total|Minimum amount for above ground carbon in Mg (Megagrams = Tons) in the whole country|NULL|dopa|t|ok|ABOVE GROUND CARBON|Min  (Mg)|3
d6dopa40|administrative_units|get_country_all_inds|agb_min_c_mg_unprot|Minimum amount for above ground carbon in Mg (Megagrams = Tons) in the unprotected portion of the country|NULL|dopa|t|no|NULL|NULL|3
d6dopa40|administrative_units|get_country_all_inds|agb_stdev_c_mg_prot|Standard deviation for above ground carbon in Mg (Megagrams = Tons) in the protected portion of the country|NULL|dopa|t|no|NULL|NULL|NULL
d6dopa40|administrative_units|get_country_all_inds|agb_stdev_c_mg_total|Standard deviation for above ground carbon in Mg (Megagrams = Tons) in the whole country|NULL|dopa|t|ok|ABOVE GROUND CARBON|St.Dev  (Mg)|NULL
d6dopa40|administrative_units|get_country_all_inds|agb_stdev_c_mg_unprot|Standard deviation for above ground carbon in Mg (Megagrams = Tons) in the unprotected portion of the country|NULL|dopa|t|no|NULL|NULL|NULL
d6dopa40|administrative_units|get_country_all_inds|agb_tot_c_pg_prot|Total amount of above ground carbon in Pg (Petagrams =Tons/10^9) in the protected portion of the country|NULL|dopa|t|no|NULL|NULL|3
d6dopa40|administrative_units|get_country_all_inds|agb_tot_c_pg_total|Total amount of above ground carbon in Pg (Petagrams =Tons/10^9) in the whole country|NULL|dopa|t|ok|ABOVE GROUND CARBON|Total  (Pg)|3
d6dopa40|administrative_units|get_country_all_inds|agb_tot_c_pg_unprot|Total amount of above ground carbon in Pg (Petagrams =Tons/10^9) in the unprotected portion of the country|NULL|dopa|t|no|NULL|NULL|3
d6dopa40|administrative_units|get_country_all_inds|area_mar_km2|Total marine area of the country in km2.|NULL|dopa|t|ok|COUNTRY INFORMATION|Marine Area (km2)|3
d6dopa40|administrative_units|get_country_all_inds|area_mar_perc|Total marine area of the country as a percentage of the total area of the country (GAUL + EEZ).|NULL|dopa|t|ok|COUNTRY INFORMATION|Marine Area (%)|3
d6dopa40|administrative_units|get_country_all_inds|area_prot_km2|Total area protected in km2.|NULL|dopa|t|ok|CONSERVATION|Total Protected Area (km2)|3
d6dopa40|administrative_units|get_country_all_inds|area_prot_mar_km2|Total area protected in marine part of the country in km2.|NULL|dopa|t|ok|CONSERVATION|Protected Marine Area (km2)|3
d6dopa40|administrative_units|get_country_all_inds|area_prot_mar_perc|Area protected in marine part of the country in km2 as a percentage of total marine area (EEZ) of the country.|NULL|dopa|t|ok|CONSERVATION|Protected Marine Area (%)|3
d6dopa40|administrative_units|get_country_all_inds|area_prot_perc|Total area protected as a percentage of the total area.|NULL|dopa|t|ok|CONSERVATION|Total Protected Area (%)|3
d6dopa40|administrative_units|get_country_all_inds|area_prot_terr_km2|Total area protected in terrestrial land of the country in km2.|NULL|dopa|t|ok|CONSERVATION|Protected Terrestrial Area (km2)|3
d6dopa40|administrative_units|get_country_all_inds|area_prot_terr_perc|Area protected in terrestrial land of the country in km2 as a percentage of total terrestrial area of the country.|NULL|dopa|t|ok|CONSERVATION|Protected Terrestrial Area (%)|3
d6dopa40|administrative_units|get_country_all_inds|area_terr_km2|Total terrestrial area of the country in km2.|NULL|dopa|t|ok|COUNTRY INFORMATION|Terrestrial Area (km2)|3
d6dopa40|administrative_units|get_country_all_inds|area_terr_perc|Total terrestrial area of the country as a percentage of the total area of the country (GAUL + EEZ).|NULL|dopa|t|ok|COUNTRY INFORMATION|Terrestrial Area (%)|3
d6dopa40|administrative_units|get_country_all_inds|area_tot_km2|Total area in km2.|NULL|dopa|t|ok|COUNTRY INFORMATION|Area (km2)|3
d6dopa40|administrative_units|get_country_all_inds|bgb_max_c_mg_prot|Maximum amount for below ground (tree roots) carbon in Mg (Megagrams = Tons) in the protected portion of the country|NULL|dopa|t|no|NULL|NULL|3
d6dopa40|administrative_units|get_country_all_inds|bgb_max_c_mg_total|Maximum amount for below ground (tree roots) carbon in Mg (Megagrams = Tons) in the whole country|NULL|dopa|t|ok|BELOWGROUND BIOMASS CARBON|Max  (Mg)|3
d6dopa40|administrative_units|get_country_all_inds|bgb_max_c_mg_unprot|Maximum amount for below ground (tree roots) carbon in Mg (Megagrams = Tons) in the unprotected portion of the country|NULL|dopa|t|no|NULL|NULL|3
d6dopa40|administrative_units|get_country_all_inds|bgb_mean_c_mg_prot|Mean amount for for below ground (tree roots) carbon in Mg (Megagrams = Tons) in the protected portion of the country|NULL|dopa|t|no|NULL|NULL|3
d6dopa40|administrative_units|get_country_all_inds|bgb_mean_c_mg_total|Mean amount for for below ground (tree roots) carbon in Mg (Megagrams = Tons) in the whole country|NULL|dopa|t|ok|BELOWGROUND BIOMASS CARBON|Average  (Mg)|3
d6dopa40|administrative_units|get_country_all_inds|bgb_mean_c_mg_unprot|Mean amount for for below ground (tree roots) carbon in Mg (Megagrams = Tons) in the unprotected portion of the country|NULL|dopa|t|no|NULL|NULL|3
d6dopa40|administrative_units|get_country_all_inds|bgb_min_c_mg_prot|Minimum amount for below ground (tree roots) carbon in Mg (Megagrams = Tons) in the protected portion of the country|NULL|dopa|t|no|NULL|NULL|3
d6dopa40|administrative_units|get_country_all_inds|bgb_min_c_mg_total|Minimum amount for below ground (tree roots) carbon in Mg (Megagrams = Tons) in the whole country|NULL|dopa|t|ok|BELOWGROUND BIOMASS CARBON|Min  (Mg)|3
d6dopa40|administrative_units|get_country_all_inds|bgb_min_c_mg_unprot|Minimum amount for below ground (tree roots) carbon in Mg (Megagrams = Tons) in the unprotected portion of the country|NULL|dopa|t|no|NULL|NULL|3
d6dopa40|administrative_units|get_country_all_inds|bgb_stdev_c_mg_prot|Standard deviation for below ground (tree roots) carbon in Mg (Megagrams = Tons) in the protected portion of the country|NULL|dopa|t|no|NULL|NULL|NULL
d6dopa40|administrative_units|get_country_all_inds|bgb_stdev_c_mg_total|Standard deviation for below ground (tree roots) carbon in Mg (Megagrams = Tons) in the whole country|NULL|dopa|t|ok|BELOWGROUND BIOMASS CARBON|St.Dev  (Mg)|NULL
d6dopa40|administrative_units|get_country_all_inds|bgb_stdev_c_mg_unprot|Standard deviation for below ground (tree roots) carbon in Mg (Megagrams = Tons) in the unprotected portion of the country|NULL|dopa|t|no|NULL|NULL|NULL
d6dopa40|administrative_units|get_country_all_inds|bgb_tot_c_pg_prot|Total amount of below ground (tree roots) carbon in Pg (Petagrams =Tons/10^9) in the protected portion of the country|NULL|dopa|t|no|NULL|NULL|3
d6dopa40|administrative_units|get_country_all_inds|bgb_tot_c_pg_total|Total amount of below ground (tree roots) carbon in Pg (Petagrams =Tons/10^9) in the whole country|NULL|dopa|t|ok|BELOWGROUND BIOMASS CARBON|Total  (Pg)|3
d6dopa40|administrative_units|get_country_all_inds|bgb_tot_c_pg_unprot|Total amount of below ground (tree roots) carbon in Pg (Petagrams =Tons/10^9) in the unprotected portion of the country|NULL|dopa|t|no|NULL|NULL|3
d6dopa40|administrative_units|get_country_all_inds|carbon_max_c_mg_prot|Maximum amount of carbon in Mg (Megagrams = Tons) in the protected portion of the country|NULL|dopa|t|no|NULL|NULL|3
d6dopa40|administrative_units|get_country_all_inds|carbon_max_c_mg_total|Maximum amount of carbon in Mg (Megagrams = Tons) in the whole country|NULL|dopa|t|ok|TOTAL CARBON|Max  (Mg)|3
d6dopa40|administrative_units|get_country_all_inds|carbon_max_c_mg_unprot|Maximum amount of carbon in Mg (Megagrams = Tons) in the unprotected portion of the country|NULL|dopa|t|no|NULL|NULL|3
d6dopa40|administrative_units|get_country_all_inds|carbon_mean_c_mg_prot|Mean amount of carbon in Mg (Megagrams = Tons) in the protected portion of the country|NULL|dopa|t|no|NULL|NULL|3
