"country_name"|"iso3"|"n2k_forest_sqkm"|"n2k_forest_pa_sqkm"|"perc"
"Sweden"|"SWE"|"22074.19549151515"|"17517.842279012584"|"79.36"
"Norway"|"NOR"|"21.240759594282398"|"16.475514589298022"|"77.57"
"Finland"|"FIN"|"21597.597846536755"|"12502.107685270214"|"57.89"
"Liechtenstein"|"LIE"|"0.6503383868501187"|"0.32523978642416007"|"50.01"
"Luxembourg"|"LUX"|"261.8988075075135"|"130.77860915691417"|"49.93"
"Latvia"|"LVA"|"4402.128355767503"|"2112.565153697771"|"47.99"
"Ukraine"|"UKR"|"35.47993571762848"|"11.478227711191185"|"32.35"
"Italy"|"ITA"|"22897.441897480585"|"5453.742095754454"|"23.82"
"Belarus"|"BLR"|"64.86907732276583"|"15.069233030761717"|"23.23"
"Lithuania"|"LTU"|"5252.423586076038"|"1143.3930588729413"|"21.77"
"Netherlands"|"NLD"|"1148.521418242018"|"242.91883153973924"|"21.15"
"Moldova (Republic of)"|"MDA"|"0.3304169688105585"|"0.0645931216926575"|"19.55"
"Russian Federation"|"RUS"|"34.37080681514311"|"6.47861036880374"|"18.85"
"Estonia"|"EST"|"4543.166583160563"|"837.2185347952603"|"18.43"
"Cyprus"|"CYP"|"672.8823775172532"|"118.54341191818533"|"17.62"
"Turkey"|"TUR"|"84.18260426696476"|"11.937264350107188"|"14.18"
"Czechia"|"CZE"|"7348.128988423471"|"758.5568707676256"|"10.32"
"Austria"|"AUT"|"5613.377976500741"|"577.4139763582381"|"10.29"
"Spain"|"ESP"|"37258.18520350846"|"3772.500837635795"|"10.13"
"Slovenia"|"SVN"|"5195.407748610547"|"520.7995215618612"|"10.02"
"Slovakia"|"SVK"|"10156.305940271795"|"992.5449829614095"|"9.77"
"Hungary"|"HUN"|"7393.991147688594"|"706.6875756474132"|"9.56"
"Romania"|"ROU"|"28537.927597141294"|"2696.321725672856"|"9.45"
"Bulgaria"|"BGR"|"20815.66048396416"|"1359.8351167843282"|"6.53"
"Denmark"|"DNK"|"693.6013101668868"|"39.764491336084596"|"5.73"
"Portugal"|"PRT"|"3912.7078418000583"|"207.80960341093765"|"5.31"
"United Kingdom of Great Britain and Northern Ireland"|"GBR"|"1255.1074620169486"|"61.490667557515856"|"4.90"
"Germany"|"DEU"|"25360.414827340006"|"1196.2393426396761"|"4.72"
"Poland"|"POL"|"33622.57073037446"|"1452.3774104288416"|"4.32"
"Greece"|"GRC"|"10794.912639216473"|"427.93968959272524"|"3.96"
"Switzerland"|"CHE"|"32.22745090642067"|"0.656965396257639"|"2.04"
"France"|"FRA"|"26751.39002127083"|"545.4809738616082"|"2.04"
"Belgium"|"BEL"|"1829.1245321750964"|"13.815932478269568"|"0.76"
"Serbia"|"SRB"|"31.080806930937534"|"0.138776677778244"|"0.45"
"Morocco"|"MAR"|"0.309177541059971"|"0"|"0.00"
"Andorra"|"AND"|"1.2675184366214276"|"0"|"0.00"
"Ireland"|"IRL"|"812.6450415168947"|"0"|"0.00"
"North Macedonia"|"MKD"|"1.7862278438384533"|"0"|"0.00"
"Croatia"|"HRV"|"10287.557975195987"|"0"|"0.00"
"Gibraltar"|"GIB"|"0.3853029208135603"|"0"|"0.00"
"Albania"|"ALB"|"0.218556122220755"|"0"|"0.00"
"Bosnia and Herzegovina"|"BIH"|"26.274490042644263"|"0"|"0.00"
