"fid"|"name"|"source"|"tot_vector_sqkm"|"tot_raster_sqkm"|"ratio_rv"|"prot_raster_sqkm"|"perc_prot"
1|"Antarctic"|"ppow"|"29404055.3346948"|"29404056.599759422"|"100.00"|"2724409.5563839087"|"9.27"
2|"Antarctic Polar Front"|"ppow"|"14126890.9076274"|"14126897.386675557"|"100.00"|"1425538.6443170707"|"10.09"
3|"Arctic"|"ppow"|"7868257.92170766"|"7868261.236739444"|"100.00"|"108828.56233270968"|"1.38"
4|"Benguela Current"|"ppow"|"1332367.98579378"|"1332364.06056861"|"100.00"|"4053.7087944012296"|"0.30"
5|"Black Sea"|"ppow"|"292026.870036053"|"292026.87308805005"|"100.00"|NULL|NULL
6|"California Current"|"ppow"|"1471740.78407564"|"1471732.099128538"|"100.00"|"20176.54553095468"|"1.37"
7|"Canary Current"|"ppow"|"1796886.4647585242"|"1796882.4871663095"|"100.00"|"18791.86086957921"|"1.05"
8|"Eastern Tropical Pacific"|"ppow"|"11745020.237839654"|"11744987.463668877"|"100.00"|"701076.7686166526"|"5.97"
9|"Equatorial Atlantic"|"ppow"|"15997733.4983095"|"15997733.905587314"|"100.00"|"1016362.8477721274"|"6.35"
10|"Equatorial Pacific"|"ppow"|"9135517.954123057"|"9135517.268684667"|"100.00"|"637655.0213786131"|"6.98"
11|"Guinea Current"|"ppow"|"626180.195588832"|"626180.1949862232"|"100.00"|NULL|NULL
12|"Gulf Stream"|"ppow"|"1189348.9607448"|"1189348.9725232478"|"100.00"|"15408.027956370997"|"1.30"
13|"Humboldt Current"|"ppow"|"3120584.55725579"|"3120592.005621697"|"100.00"|"248563.1206102318"|"7.97"
14|"Southern Indian Ocean"|"ppow"|"18465769.493641693"|"18465771.74732893"|"100.00"|"528091.2643348468"|"2.86"
15|"Northern Indian Ocean"|"ppow"|"19034986.869037"|"19034986.966942374"|"100.00"|"1024098.4986993782"|"5.38"
16|"Indonesian Through-Flow"|"ppow"|"3571583.76209216"|"3571589.9799290868"|"100.00"|"150045.43633041522"|"4.20"
17|"Inter American Seas"|"ppow"|"3321487.99135838"|"3321488.3248708304"|"100.00"|"158207.50883859798"|"4.76"
18|"Kuroshio-Oyashio Current"|"ppow"|"1063252.55678329"|"1063247.4664349156"|"100.00"|"40495.26469096488"|"3.81"
19|"Leeuwin Current"|"ppow"|"1357488.36722541"|"1357482.1959279792"|"100.00"|"324498.4443615358"|"23.90"
20|"Malvinas Current"|"ppow"|"686582.511681257"|"686582.4902786525"|"100.00"|NULL|NULL
21|"Mediterranean"|"ppow"|"1840882.84767659"|"1840882.8918957787"|"100.00"|"108734.97383500624"|"5.91"
22|"Southwest Pacific"|"ppow"|"7788312.01335117"|"7788325.394577496"|"100.00"|"2612897.860034085"|"33.55"
23|"North Atlantic Current"|"ppow"|"6188629.67239847"|"6188624.564293647"|"100.00"|"483350.79044704436"|"7.81"
24|"North Central Atlantic"|"ppow"|"12139399.3976566"|"12139395.860133756"|"100.00"|"194847.30797420975"|"1.61"
25|"North Central Pacific"|"ppow"|"36145240.42683743"|"36145231.10623106"|"100.00"|"2931776.8987467573"|"8.11"
26|"North Pacific Current"|"ppow"|"7390619.86024644"|"7390619.851103855"|"100.00"|NULL|NULL
27|"Red Sea"|"ppow"|"229820.869259182"|"229820.61408961698"|"100.00"|"627.3856109007713"|"0.27"
28|"Sea of Japan/East Sea"|"ppow"|"740969.565820335"|"740969.6049971123"|"100.00"|"33867.76346422103"|"4.57"
29|"Somali Current"|"ppow"|"2596016.31307836"|"2596016.3688407955"|"100.00"|"26.826866039112"|"0.00"
30|"South Central Atlantic"|"ppow"|"14715177.474055"|"14715173.453252794"|"100.00"|"472494.6591916558"|"3.21"
31|"South Central Pacific"|"ppow"|"41391368.91076297"|"41391371.595614515"|"100.00"|"4897414.588632308"|"11.83"
32|"South China Sea"|"ppow"|"1586356.48647686"|"1586356.5069417087"|"100.00"|"1975.7868077852527"|"0.12"
33|"Subantarctic"|"ppow"|"16861221.4155813"|"16861239.133345053"|"100.00"|"593801.7026934802"|"3.52"
34|"Subarctic Pacific"|"ppow"|"8234986.46529212"|"8234986.971798618"|"100.00"|"26183.482594342408"|"0.32"
35|"Southern Subtropical Front"|"ppow"|"21859819.1745488"|"21859847.395223055"|"100.00"|"987265.7285765688"|"4.52"
36|"Subarctic Atlantic"|"ppow"|"4337706.88004335"|"4337706.456008455"|"100.00"|"140917.25556618205"|"3.25"
37|"Agulhas Current"|"ppow"|"2110446.72402275"|"2110446.595529038"|"100.00"|"22289.42031711295"|"1.06"
9998|"Lake"|"teow"|"1038862.88079596"|"1038862.772169953"|"100.00"|"100816.09516975272"|"9.70"
9999|"Rock and Ice"|"teow"|"11094367.5206902"|"11094367.637452789"|"100.00"|"759050.8632955097"|"6.84"
10101|"Admiralty Islands lowland rain forests"|"teow"|"2025.01971987668"|"2025.019714503149"|"100.00"|"33.5322703131208"|"1.66"
10102|"Banda Sea Islands moist deciduous forests"|"teow"|"7234.70636177727"|"7234.706321854016"|"100.00"|"1090.2243533682306"|"15.07"
10103|"Biak-Numfoor rain forests"|"teow"|"2728.30188485162"|"2728.3018814462466"|"100.00"|"569.0247254542771"|"20.86"
10104|"Buru rain forests"|"teow"|"8500.50986808766"|"8500.509868600242"|"100.00"|"68.4705304208698"|"0.81"
10105|"Central Range montane rain forests"|"teow"|"171229.640800245"|"171230.52834245528"|"100.00"|"24494.225196991785"|"14.30"
10106|"Halmahera rain forests"|"teow"|"26063.0367968232"|"26062.999066837267"|"100.00"|"2048.17451324617"|"7.86"
10107|"Huon Peninsula montane rain forests"|"teow"|"16414.4186871353"|"16414.575329692318"|"100.00"|"581.8150038295308"|"3.54"
10108|"Yapen rain forests"|"teow"|"2334.09335865092"|"2334.0933587521063"|"100.00"|"1127.62283218168"|"48.31"
10109|"Lord Howe Island subtropical forests"|"teow"|"11.2067810587212"|"11.20678538608568"|"100.00"|"11.20678538608568"|"100.00"
10110|"Louisiade Archipelago rain forests"|"teow"|"1360.30879074895"|"1360.3087953208592"|"100.00"|NULL|NULL
10111|"New Britain-New Ireland lowland rain forests"|"teow"|"34328.3827766812"|"34328.43488169421"|"100.00"|"997.6535754742339"|"2.91"
10112|"New Britain-New Ireland montane rain forests"|"teow"|"12081.1728474652"|"12081.172847467175"|"100.00"|"64.66182380214761"|"0.54"
10113|"New Caledonia rain forests"|"teow"|"14143.7448082458"|"14143.718690084956"|"100.00"|"8509.131658698208"|"60.16"
10114|"Norfolk Island subtropical forests"|"teow"|"27.7144270668564"|"27.714427026723715"|"100.00"|"5.968037176266714"|"21.53"
10115|"Northern New Guinea lowland rain and freshwater swamp forests"|"teow"|"134472.785624938"|"134473.15129080752"|"100.00"|"15844.072347644575"|"11.78"
10116|"Northern New Guinea montane rain forests"|"teow"|"23164.4657527992"|"23164.465752773394"|"100.00"|"3385.863301877647"|"14.62"
10117|"Queensland tropical rain forests"|"teow"|"32418.1656366122"|"32418.20418053943"|"100.00"|"13658.539781096613"|"42.13"
10118|"Seram rain forests"|"teow"|"18805.0232401463"|"18805.896584773596"|"100.00"|"1996.19042152779"|"10.61"
10119|"Solomon Islands rain forests"|"teow"|"34113.1469474096"|"34113.14538854593"|"100.00"|"421.4786951739676"|"1.24"
10120|"Southeastern Papuan rain forests"|"teow"|"76451.2385542619"|"76451.57060423018"|"100.00"|"2530.210450771253"|"3.31"
10121|"Southern New Guinea freshwater swamp forests"|"teow"|"99041.4319126055"|"99041.43235801373"|"100.00"|"8530.394916940648"|"8.61"
10122|"Southern New Guinea lowland rain forests"|"teow"|"122326.479867868"|"122326.48449524253"|"100.00"|"6076.713223318246"|"4.97"
10123|"Sulawesi lowland rain forests"|"teow"|"113332.012881086"|"113332.04141881174"|"100.00"|"8393.176199108164"|"7.41"
10124|"Sulawesi montane rain forests"|"teow"|"75471.6739631715"|"75471.75403190106"|"100.00"|"11121.389522727337"|"14.74"
10125|"Trobriand Islands rain forests"|"teow"|"3690.7590852445"|"3690.701135851077"|"100.00"|"257.763830430341"|"6.98"
10126|"Vanuatu rain forests"|"teow"|"11809.8123392733"|"11809.807674063904"|"100.00"|"508.7522924843041"|"4.31"
10127|"Vogelkop montane rain forests"|"teow"|"21646.7637536313"|"21646.76433826719"|"100.00"|"12209.232294091373"|"56.40"
10128|"Vogelkop-Aru lowland rain forests"|"teow"|"74698.036558621"|"74698.03666644625"|"100.00"|"6908.758716760408"|"9.25"
10201|"Lesser Sundas deciduous forests"|"teow"|"38652.071359543"|"38652.071364213916"|"100.00"|"2993.8221551879587"|"7.75"
10202|"New Caledonia dry forests"|"teow"|"4256.73563603036"|"4256.7356355540915"|"100.00"|"2392.3773771150104"|"56.20"
10203|"Sumba deciduous forests"|"teow"|"10634.7000597649"|"10634.70074599558"|"100.00"|"972.1826626334214"|"9.14"
10204|"Timor and Wetar deciduous forests"|"teow"|"32983.6581395061"|"32983.66309302971"|"100.00"|"3417.0416290127087"|"10.36"
10401|"Chatham Island temperate forests"|"teow"|"635.509342135898"|"635.5093613732732"|"100.00"|"40.19414817770724"|"6.32"
10402|"Eastern Australian temperate forests"|"teow"|"221228.54076863"|"221242.3586885569"|"100.01"|"40253.29945418458"|"18.19"
10403|"Fiordland temperate forests"|"teow"|"10741.7981190847"|"10741.798102556211"|"100.00"|"10687.05190470133"|"99.49"
10404|"Nelson Coast temperate forests"|"teow"|"14520.8822089206"|"14522.919187568026"|"100.01"|"11395.592546151485"|"78.47"
10405|"North Island temperate forests"|"teow"|"83234.9360011265"|"83242.04974969401"|"100.01"|"16156.64111205413"|"19.41"
10406|"Northland temperate kauri forests"|"teow"|"28327.6089951984"|"28327.635429608446"|"100.00"|"3357.186676440711"|"11.85"
10407|"Rakiura Island temperate forests"|"teow"|"1415.80901283303"|"1415.809010305776"|"100.00"|"1288.4791676725342"|"91.01"
10408|"Richmond temperate forests"|"teow"|"12596.2906978276"|"12596.290557534905"|"100.00"|"4828.541574158785"|"38.33"
10409|"Southeast Australia temperate forests"|"teow"|"271991.887251235"|"271996.82507875556"|"100.00"|"34340.45070010767"|"12.63"
10410|"South Island temperate forests"|"teow"|"11376.8717601563"|"11377.60163222949"|"100.01"|"2381.3806296225857"|"20.93"
10411|"Tasmanian Central Highland forests"|"teow"|"18698.4197075988"|"18698.456381101834"|"100.00"|"6087.448279857033"|"32.56"
10412|"Tasmanian temperate forests"|"teow"|"17935.7392971614"|"17936.558702587023"|"100.00"|"3909.117326897992"|"21.79"
10413|"Tasmanian temperate rain forests"|"teow"|"31097.1230884157"|"31099.460806325314"|"100.01"|"18586.751201422336"|"59.77"
10414|"Westland temperate forests"|"teow"|"5185.96593737117"|"5185.968692415242"|"100.00"|"4251.497716898613"|"81.98"
10701|"Arnhem Land tropical savanna"|"teow"|"156922.061906226"|"156925.65883904527"|"100.00"|"69114.72075926262"|"44.04"
10702|"Brigalow tropical savanna"|"teow"|"341456.243100231"|"341471.6048672487"|"100.00"|"13731.806613501847"|"4.02"
10703|"Cape York Peninsula tropical savanna"|"teow"|"115668.178101584"|"115672.46223854531"|"100.00"|"39662.96785898178"|"34.29"
10704|"Carpentaria tropical savanna"|"teow"|"358292.916394403"|"358295.8263235409"|"100.00"|"50359.16508313223"|"14.06"
10705|"Einasleigh upland savanna"|"teow"|"128067.563978031"|"128067.69373904765"|"100.00"|"9668.075281358242"|"7.55"
10706|"Kimberly tropical savanna"|"teow"|"345911.893381974"|"345919.75839024904"|"100.00"|"106906.56191514114"|"30.91"
10707|"Mitchell grass downs"|"teow"|"459495.969335655"|"459503.76954721205"|"100.00"|"10863.704758494958"|"2.36"
10708|"Trans Fly savanna and grasslands"|"teow"|"26461.6772130769"|"26461.677214434912"|"100.00"|"10188.760758901397"|"38.50"
10709|"Victoria Plains tropical savanna"|"teow"|"224881.426418718"|"224881.43576824034"|"100.00"|"16213.578255771186"|"7.21"
10801|"Cantebury-Otago tussock grasslands"|"teow"|"52306.5009539944"|"52308.27026608966"|"100.00"|"4743.194170382043"|"9.07"
10802|"Eastern Australia mulga shrublands"|"teow"|"253515.427563137"|"253519.4326451844"|"100.00"|"11260.0447230685"|"4.44"
10803|"Southeast Australia temperate savanna"|"teow"|"321998.851135603"|"322003.88634545164"|"100.00"|"13392.819535122788"|"4.16"
11001|"Australian Alps montane grasslands"|"teow"|"11999.3973595704"|"11999.482062848676"|"100.00"|"7643.129679590742"|"63.70"
11002|"Central Range sub-alpine grasslands"|"teow"|"15502.8026203408"|"15502.819330470193"|"100.00"|"6239.518441225713"|"40.25"
11003|"South Island montane grasslands"|"teow"|"39990.5058378806"|"39990.638369402295"|"100.00"|"25658.236957305933"|"64.16"
11101|"Antipodes Subantarctic Islands tundra"|"teow"|"643.674094226034"|"643.6740657033099"|"100.00"|"643.6740657033099"|"100.00"
11201|"Coolgardie woodlands"|"teow"|"137255.020964829"|"137255.02915029414"|"100.00"|"14889.092373069332"|"10.85"
11202|"Esperance mallee"|"teow"|"115279.491960445"|"115281.70996250097"|"100.00"|"23620.694866570426"|"20.49"
11203|"Eyre and York mallee"|"teow"|"60637.4377165489"|"60640.31577163641"|"100.00"|"9241.044702906667"|"15.24"
11204|"Jarrah-Karri forest and shrublands"|"teow"|"10339.7957824973"|"10339.803578394156"|"100.00"|"4701.905464360357"|"45.47"
11205|"Swan Coastal Plain Scrub and Woodlands"|"teow"|"15157.8854062118"|"15157.886998129572"|"100.00"|"1999.512601354333"|"13.19"
11206|"Mount Lofty woodlands"|"teow"|"23657.4908279719"|"23657.72452908306"|"100.00"|"2110.279307647018"|"8.92"
11207|"Murray-Darling woodlands and mallee"|"teow"|"197875.096850029"|"197883.8943782516"|"100.00"|"36071.08552482204"|"18.23"
11208|"Naracoorte woodlands"|"teow"|"27326.9762606053"|"27326.9823264806"|"100.00"|"2689.0081967578776"|"9.84"
11209|"Southwest Australia savanna"|"teow"|"168563.786356309"|"168567.6744418905"|"100.00"|"14456.195372072169"|"8.58"
11210|"Southwest Australia woodlands"|"teow"|"46009.2268040109"|"46015.188692682226"|"100.01"|"5915.492951267654"|"12.86"
11301|"Carnarvon xeric shrublands"|"teow"|"89970.0301175399"|"89970.34262530199"|"100.00"|"9314.257393200964"|"10.35"
11302|"Central Ranges xeric scrub"|"teow"|"281050.734931419"|"281055.790313578"|"100.00"|"92202.88702336601"|"32.81"
11303|"Gibson desert"|"teow"|"155523.501993394"|"155525.9197687456"|"100.00"|"93320.77398339978"|"60.00"
11304|"Great Sandy-Tanami desert"|"teow"|"820766.969073775"|"820782.050249453"|"100.00"|"313745.88580019725"|"38.23"
11305|"Great Victoria desert"|"teow"|"423733.989451953"|"423739.9676127648"|"100.00"|"128786.87280391529"|"30.39"
11306|"Nullarbor Plains xeric shrublands"|"teow"|"195003.056512516"|"195003.0311289858"|"100.00"|"62804.88589070098"|"32.21"
11307|"Pilbara shrublands"|"teow"|"179135.126158125"|"179135.12585815528"|"100.00"|"11590.406629005443"|"6.47"
11308|"Simpson desert"|"teow"|"583394.267685867"|"583412.1273959205"|"100.00"|"131043.5129423343"|"22.46"
11309|"Tirari-Sturt stony desert"|"teow"|"376478.160280569"|"376487.8658856877"|"100.00"|"38923.98327739263"|"10.34"
11310|"Western Australian Mulga shrublands"|"teow"|"459615.981414624"|"459621.81892738934"|"100.00"|"20788.622273302815"|"4.52"
11401|"New Guinea mangroves"|"teow"|"25049.4099660226"|"25049.40999137819"|"100.00"|"5583.7933057169785"|"22.29"
20001|"North Greenland"|"meow"|"188098.3157969654"|"188098.35302576044"|"100.00"|"61395.558344611294"|"32.64"
