"first_level_code"|"first_level"|"second_level_code"|"second_level"|"third_level_code"|"third_level"|"source"|"v_sqkm"|"r_sqkm"|"old_first_level_code"|"geom"
1|"Antarctic"|5|"Polar"|4|"Southern Cold Water"|"ppow"|"29404119.0291487"|"29404055.3346948"|1|NULL
2|"Antarctic Polar Front"|5|"Polar"|4|"Southern Cold Water"|"ppow"|"14126896.3033871"|"14126890.9076274"|2|NULL
3|"Arctic"|5|"Polar"|3|"Northern Cold Water"|"ppow"|"7868145.44008342"|"7868257.92170766"|3|NULL
4|"Benguela Current"|1|"Eastern Boundary"|1|"Atlantic Warm Water"|"ppow"|"1332369.744798"|"1332367.98579378"|4|NULL
5|"Black Sea"|6|"Semi-enclosed sea"|1|"Atlantic Warm Water"|"ppow"|"292026.87320196"|"292026.870036053"|5|NULL
6|"California Current"|1|"Eastern Boundary"|2|"Indo-Pacific Warm Water"|"ppow"|"1471738.37065357"|"1471740.78407564"|6|NULL
7|"Canary Current"|1|"Eastern Boundary"|1|"Atlantic Warm Water"|"ppow"|"1796888.2139643"|"1796886.4647585242"|7|NULL
8|"Eastern Tropical Pacific"|3|"Equatorial"|2|"Indo-Pacific Warm Water"|"ppow"|"11745021.5614558"|"11745020.237839654"|8|NULL
9|"Equatorial Atlantic"|3|"Equatorial"|1|"Atlantic Warm Water"|"ppow"|"15997730.5714041"|"15997733.4983095"|9|NULL
10|"Equatorial Pacific"|3|"Equatorial"|2|"Indo-Pacific Warm Water"|"ppow"|"9135515.30092993"|"9135517.954123057"|10|NULL
11|"Guinea Current"|1|"Eastern Boundary"|1|"Atlantic Warm Water"|"ppow"|"626180.066422259"|"626180.195588832"|11|NULL
12|"Gulf Stream"|2|"Western Boundary"|1|"Atlantic Warm Water"|"ppow"|"1189350.20652084"|"1189348.9607448"|12|NULL
13|"Humboldt Current"|1|"Eastern Boundary"|2|"Indo-Pacific Warm Water"|"ppow"|"3120585.81633777"|"3120584.55725579"|13|NULL
14|"Southern Indian Ocean"|4|"Gyre"|2|"Indo-Pacific Warm Water"|"ppow"|"18465761.1189532"|"18465769.493641693"|14|NULL
15|"Northern Indian Ocean"|4|"Gyre"|2|"Indo-Pacific Warm Water"|"ppow"|"19034975.9541631"|"19034986.869037"|15|NULL
16|"Indonesian Through-Flow"|6|"Semi-enclosed sea"|2|"Indo-Pacific Warm Water"|"ppow"|"3571583.60854051"|"3571583.76209216"|16|NULL
17|"Inter American Seas"|6|"Semi-enclosed sea"|1|"Atlantic Warm Water"|"ppow"|"3321487.62451429"|"3321487.99135838"|17|NULL
18|"Kuroshio-Oyashio Current"|2|"Western Boundary"|2|"Indo-Pacific Warm Water"|"ppow"|"1063250.55215549"|"1063252.55678329"|18|NULL
19|"Leeuwin Current"|1|"Eastern Boundary"|2|"Indo-Pacific Warm Water"|"ppow"|"1357488.85181503"|"1357488.36722541"|19|NULL
20|"Malvinas Current"|2|"Western Boundary"|1|"Atlantic Warm Water"|"ppow"|"686580.210509263"|"686582.511681257"|20|NULL
21|"Mediterranean"|6|"Semi-enclosed sea"|1|"Atlantic Warm Water"|"ppow"|"1840882.79971444"|"1840882.84767659"|21|NULL
22|"Southwest Pacific"|7|"Transitional"|2|"Indo-Pacific Warm Water"|"ppow"|"7788312.41481744"|"7788312.01335117"|22|NULL
23|"North Atlantic Current"|7|"Transitional"|1|"Atlantic Warm Water"|"ppow"|"6188664.15053872"|"6188629.67239847"|23|NULL
24|"North Central Atlantic"|4|"Gyre"|1|"Atlantic Warm Water"|"ppow"|"12139373.8858798"|"12139399.3976566"|24|NULL
25|"North Central Pacific"|4|"Gyre"|2|"Indo-Pacific Warm Water"|"ppow"|"36145247.0424045"|"36145240.42683743"|25|NULL
26|"North Pacific Current"|7|"Transitional"|2|"Indo-Pacific Warm Water"|"ppow"|"7390564.43496222"|"7390619.86024644"|26|NULL
27|"Red Sea"|6|"Semi-enclosed sea"|2|"Indo-Pacific Warm Water"|"ppow"|"229820.298003534"|"229820.869259182"|27|NULL
28|"Sea of Japan/East Sea"|6|"Semi-enclosed sea"|2|"Indo-Pacific Warm Water"|"ppow"|"740969.392321724"|"740969.565820335"|28|NULL
29|"Somali Current"|2|"Western Boundary"|2|"Indo-Pacific Warm Water"|"ppow"|"2596014.98426064"|"2596016.31307836"|29|NULL
30|"South Central Atlantic"|4|"Gyre"|1|"Atlantic Warm Water"|"ppow"|"14714997.9833178"|"14715177.474055"|30|NULL
31|"South Central Pacific"|4|"Gyre"|2|"Indo-Pacific Warm Water"|"ppow"|"41391304.1869507"|"41391368.91076297"|31|NULL
32|"South China Sea"|6|"Semi-enclosed sea"|2|"Indo-Pacific Warm Water"|"ppow"|"1586356.49920014"|"1586356.48647686"|32|NULL
33|"Subantarctic"|5|"Polar"|4|"Southern Cold Water"|"ppow"|"16861212.2311208"|"16861221.4155813"|33|NULL
34|"Subarctic Pacific"|4|"Gyre"|3|"Northern Cold Water"|"ppow"|"8235034.54115708"|"8234986.46529212"|34|NULL
35|"Southern Subtropical Front"|7|"Transitional"|4|"Southern Cold Water"|"ppow"|"21860100.7096819"|"21859819.1745488"|35|NULL
36|"Subarctic Atlantic"|4|"Gyre"|3|"Northern Cold Water"|"ppow"|"4337706.36299101"|"4337706.88004335"|36|NULL
37|"Agulhas Current"|2|"Western Boundary"|2|"Indo-Pacific Warm Water"|"ppow"|"2110448.70489344"|"2110446.72402275"|0|NULL
9998|"Lake"|98|"Lake"|NULL|NULL|"teow"|"1038861.50771337"|"1038862.88079596"|-9998|NULL
9999|"Rock and Ice"|99|"Rock and ice"|NULL|NULL|"teow"|"11094753.7919267"|"11094367.5206902"|-9999|NULL
10101|"Admiralty Islands lowland rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|1|"Australasia"|"teow"|"2025.00995713259"|"2025.01971987668"|10101|NULL
10102|"Banda Sea Islands moist deciduous forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|1|"Australasia"|"teow"|"7235.201753872"|"7234.70636177727"|10102|NULL
10103|"Biak-Numfoor rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|1|"Australasia"|"teow"|"2728.22748977918"|"2728.30188485162"|10103|NULL
10104|"Buru rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|1|"Australasia"|"teow"|"8500.22649598717"|"8500.50986808766"|10104|NULL
10105|"Central Range montane rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|1|"Australasia"|"teow"|"171229.570354813"|"171229.640800245"|10105|NULL
10106|"Halmahera rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|1|"Australasia"|"teow"|"26062.5624828966"|"26063.0367968232"|10106|NULL
10107|"Huon Peninsula montane rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|1|"Australasia"|"teow"|"16414.965760569"|"16414.4186871353"|10107|NULL
10108|"Yapen rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|1|"Australasia"|"teow"|"2333.89532973362"|"2334.09335865092"|10108|NULL
10109|"Lord Howe Island subtropical forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|1|"Australasia"|"teow"|"11.1922087315235"|"11.2067810587212"|10109|NULL
10110|"Louisiade Archipelago rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|1|"Australasia"|"teow"|"1360.72823307071"|"1360.30879074895"|10110|NULL
10111|"New Britain-New Ireland lowland rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|1|"Australasia"|"teow"|"34329.6174342064"|"34328.3827766812"|10111|NULL
10112|"New Britain-New Ireland montane rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|1|"Australasia"|"teow"|"12081.1850535697"|"12081.1728474652"|10112|NULL
10113|"New Caledonia rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|1|"Australasia"|"teow"|"14144.7610780747"|"14143.7448082458"|10113|NULL
10114|"Norfolk Island subtropical forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|1|"Australasia"|"teow"|"27.70860913566"|"27.7144270668564"|10114|NULL
10115|"Northern New Guinea lowland rain and freshwater swamp forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|1|"Australasia"|"teow"|"134473.941955924"|"134472.785624938"|10115|NULL
10116|"Northern New Guinea montane rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|1|"Australasia"|"teow"|"23164.5423609967"|"23164.4657527992"|10116|NULL
10117|"Queensland tropical rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|1|"Australasia"|"teow"|"32419.0420133599"|"32418.1656366122"|10117|NULL
10118|"Seram rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|1|"Australasia"|"teow"|"18803.6349068302"|"18805.0232401463"|10118|NULL
10119|"Solomon Islands rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|1|"Australasia"|"teow"|"34112.8033937075"|"34113.1469474096"|10119|NULL
10120|"Southeastern Papuan rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|1|"Australasia"|"teow"|"76452.208544369"|"76451.2385542619"|10120|NULL
10121|"Southern New Guinea freshwater swamp forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|1|"Australasia"|"teow"|"99041.3577251332"|"99041.4319126055"|10121|NULL
10122|"Southern New Guinea lowland rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|1|"Australasia"|"teow"|"122326.767751863"|"122326.479867868"|10122|NULL
10123|"Sulawesi lowland rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|1|"Australasia"|"teow"|"113329.335756015"|"113332.012881086"|10123|NULL
10124|"Sulawesi montane rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|1|"Australasia"|"teow"|"75471.6862537556"|"75471.6739631715"|10124|NULL
10125|"Trobriand Islands rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|1|"Australasia"|"teow"|"3690.83764219386"|"3690.7590852445"|10125|NULL
10126|"Vanuatu rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|1|"Australasia"|"teow"|"11810.9232118722"|"11809.8123392733"|10126|NULL
10127|"Vogelkop montane rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|1|"Australasia"|"teow"|"21646.6941831393"|"21646.7637536313"|10127|NULL
10128|"Vogelkop-Aru lowland rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|1|"Australasia"|"teow"|"74697.2292744484"|"74698.036558621"|10128|NULL
10201|"Lesser Sundas deciduous forests"|2|"Tropical & Subtropical Dry Broadleaf Forests"|1|"Australasia"|"teow"|"38653.548941011"|"38652.071359543"|10201|NULL
10202|"New Caledonia dry forests"|2|"Tropical & Subtropical Dry Broadleaf Forests"|1|"Australasia"|"teow"|"4256.5202080272"|"4256.73563603036"|10202|NULL
10203|"Sumba deciduous forests"|2|"Tropical & Subtropical Dry Broadleaf Forests"|1|"Australasia"|"teow"|"10634.2701927475"|"10634.7000597649"|10203|NULL
10204|"Timor and Wetar deciduous forests"|2|"Tropical & Subtropical Dry Broadleaf Forests"|1|"Australasia"|"teow"|"32984.2004732532"|"32983.6581395061"|10204|NULL
10401|"Chatham Island temperate forests"|4|"Temperate Broadleaf & Mixed Forests"|1|"Australasia"|"teow"|"635.553045485408"|"635.509342135898"|10401|NULL
10402|"Eastern Australian temperate forests"|4|"Temperate Broadleaf & Mixed Forests"|1|"Australasia"|"teow"|"221227.722309231"|"221228.54076863"|10402|NULL
10403|"Fiordland temperate forests"|4|"Temperate Broadleaf & Mixed Forests"|1|"Australasia"|"teow"|"10741.7295421046"|"10741.7981190847"|10403|NULL
10404|"Nelson Coast temperate forests"|4|"Temperate Broadleaf & Mixed Forests"|1|"Australasia"|"teow"|"14521.2220785251"|"14520.8822089206"|10404|NULL
10405|"North Island temperate forests"|4|"Temperate Broadleaf & Mixed Forests"|1|"Australasia"|"teow"|"83234.7520899227"|"83234.9360011265"|10405|NULL
10406|"Northland temperate kauri forests"|4|"Temperate Broadleaf & Mixed Forests"|1|"Australasia"|"teow"|"28328.0889458661"|"28327.6089951984"|10406|NULL
10407|"Rakiura Island temperate forests"|4|"Temperate Broadleaf & Mixed Forests"|1|"Australasia"|"teow"|"1415.96448743062"|"1415.80901283303"|10407|NULL
10408|"Richmond temperate forests"|4|"Temperate Broadleaf & Mixed Forests"|1|"Australasia"|"teow"|"12596.5099936833"|"12596.2906978276"|10408|NULL
10409|"Southeast Australia temperate forests"|4|"Temperate Broadleaf & Mixed Forests"|1|"Australasia"|"teow"|"271992.668668479"|"271991.887251235"|10409|NULL
10410|"South Island temperate forests"|4|"Temperate Broadleaf & Mixed Forests"|1|"Australasia"|"teow"|"11376.217951719"|"11376.8717601563"|10410|NULL
10411|"Tasmanian Central Highland forests"|4|"Temperate Broadleaf & Mixed Forests"|1|"Australasia"|"teow"|"18698.4450982143"|"18698.4197075988"|10411|NULL
10412|"Tasmanian temperate forests"|4|"Temperate Broadleaf & Mixed Forests"|1|"Australasia"|"teow"|"17937.1535976932"|"17935.7392971614"|10412|NULL
10413|"Tasmanian temperate rain forests"|4|"Temperate Broadleaf & Mixed Forests"|1|"Australasia"|"teow"|"31097.7901863424"|"31097.1230884157"|10413|NULL
