"cn","c0","c0t","c0_class_realm","c1","c1_class_biome","c2","ct","c2_class_ecosystem_functional_group","c3","c3_class_occurrence","raster","vector","tname","note"
11011,1,"T","Terrestrial",1,"Tropical-subtropical forests",1,"T1.1","Tropical-subtropical lowland rainforests",1,"major","T1.1.web.mix_v2.0.tif","T1.1.web.mix_v2.0.json","t1_1_web_mix_v2_0",NULL
11012,1,"T","Terrestrial",1,"Tropical-subtropical forests",1,"T1.1","Tropical-subtropical lowland rainforests",2,"minor","T1.1.web.mix_v2.0.tif","T1.1.web.mix_v2.0.json","t1_1_web_mix_v2_0",NULL
11021,1,"T","Terrestrial",1,"Tropical-subtropical forests",2,"T1.2","Tropical-subtropical dry forests and thickets",1,"major","T1.2.web.mix_v1.0.tif","T1.2.web.mix_v1.0.json","t1_2_web_mix_v1_0",NULL
11022,1,"T","Terrestrial",1,"Tropical-subtropical forests",2,"T1.2","Tropical-subtropical dry forests and thickets",2,"minor","T1.2.web.mix_v1.0.tif","T1.2.web.mix_v1.0.json","t1_2_web_mix_v1_0",NULL
11031,1,"T","Terrestrial",1,"Tropical-subtropical forests",3,"T1.3","Tropical-subtropical montane rainforests",1,"major","T1.3.WM.nwx_v1.0.tif","T1.3.WM.nwx_v1.0.json","t1_3_wm_nwx_v1_0",NULL
11032,1,"T","Terrestrial",1,"Tropical-subtropical forests",3,"T1.3","Tropical-subtropical montane rainforests",2,"minor","T1.3.WM.nwx_v1.0.tif","T1.3.WM.nwx_v1.0.json","t1_3_wm_nwx_v1_0",NULL
11041,1,"T","Terrestrial",1,"Tropical-subtropical forests",4,"T1.4","Tropical heath forests",1,"major","T1.4.web.orig_v2.0.tif","T1.4.web.orig_v2.0.json","t1_4_web_orig_v2_0",NULL
11042,1,"T","Terrestrial",1,"Tropical-subtropical forests",4,"T1.4","Tropical heath forests",2,"minor","T1.4.web.orig_v2.0.tif","T1.4.web.orig_v2.0.json","t1_4_web_orig_v2_0",NULL
12011,1,"T","Terrestrial",2,"Temperate-boreal forests & woodlands",1,"T2.1","Boreal and temperate montane forests and woodlands",1,"major","T2.1.web.mix_v1.0.tif","T2.1.web.mix_v1.0.json","t2_1_web_mix_v1_0",NULL
12012,1,"T","Terrestrial",2,"Temperate-boreal forests & woodlands",1,"T2.1","Boreal and temperate montane forests and woodlands",2,"minor","T2.1.web.mix_v1.0.tif","T2.1.web.mix_v1.0.json","t2_1_web_mix_v1_0",NULL
12021,1,"T","Terrestrial",2,"Temperate-boreal forests & woodlands",2,"T2.2","Deciduous temperate forests",1,"major","T2.2.web.mix_v1.0.tif","T2.2.web.mix_v1.0.json","t2_2_web_mix_v1_0",NULL
12022,1,"T","Terrestrial",2,"Temperate-boreal forests & woodlands",2,"T2.2","Deciduous temperate forests",2,"minor","T2.2.web.mix_v1.0.tif","T2.2.web.mix_v1.0.json","t2_2_web_mix_v1_0",NULL
12031,1,"T","Terrestrial",2,"Temperate-boreal forests & woodlands",3,"T2.3","Oceanic cool temperate rainforests",1,"major","T2.3.web.orig_v1.0.tif","T2.3.web.orig_v1.0.json","t2_3_web_orig_v1_0",NULL
12032,1,"T","Terrestrial",2,"Temperate-boreal forests & woodlands",3,"T2.3","Oceanic cool temperate rainforests",2,"minor","T2.3.web.orig_v1.0.tif","T2.3.web.orig_v1.0.json","t2_3_web_orig_v1_0",NULL
12041,1,"T","Terrestrial",2,"Temperate-boreal forests & woodlands",4,"T2.4","Warm temperate laurophyll forests",1,"major","T2.4.web.orig_v2.0.tif","T2.4.web.orig_v2.0.json","t2_4_web_orig_v2_0",NULL
12042,1,"T","Terrestrial",2,"Temperate-boreal forests & woodlands",4,"T2.4","Warm temperate laurophyll forests",2,"minor","T2.4.web.orig_v2.0.tif","T2.4.web.orig_v2.0.json","t2_4_web_orig_v2_0",NULL
12051,1,"T","Terrestrial",2,"Temperate-boreal forests & woodlands",5,"T2.5","Temperate pyric humid forests",1,"major","T2.5.web.alt_v2.0.tif","T2.5.web.alt_v2.0.json","t2_5_web_alt_v2_0",NULL
12052,1,"T","Terrestrial",2,"Temperate-boreal forests & woodlands",5,"T2.5","Temperate pyric humid forests",2,"minor","T2.5.web.alt_v2.0.tif","T2.5.web.alt_v2.0.json","t2_5_web_alt_v2_0",NULL
12061,1,"T","Terrestrial",2,"Temperate-boreal forests & woodlands",6,"T2.6","Temperate pyric sclerophyll forests and woodlands",1,"major","T2.6.web.mix_v1.0.tif","T2.6.web.mix_v1.0.json","t2_6_web_mix_v1_0",NULL
12062,1,"T","Terrestrial",2,"Temperate-boreal forests & woodlands",6,"T2.6","Temperate pyric sclerophyll forests and woodlands",2,"minor","T2.6.web.mix_v1.0.tif","T2.6.web.mix_v1.0.json","t2_6_web_mix_v1_0",NULL
13011,1,"T","Terrestrial",3,"Shrublands & shrubby woodlands",1,"T3.1","Seasonally dry tropical shrublands",1,"major","T3.1.web.orig_v2.0.tif","T3.1.web.orig_v2.0.json","t3_1_web_orig_v2_0",NULL
13012,1,"T","Terrestrial",3,"Shrublands & shrubby woodlands",1,"T3.1","Seasonally dry tropical shrublands",2,"minor","T3.1.web.orig_v2.0.tif","T3.1.web.orig_v2.0.json","t3_1_web_orig_v2_0",NULL
13021,1,"T","Terrestrial",3,"Shrublands & shrubby woodlands",2,"T3.2","Seasonally dry temperate heaths and shrublands",1,"major","T3.2.web.orig_v1.0.tif","T3.2.web.orig_v1.0.json","t3_2_web_orig_v1_0",NULL
13022,1,"T","Terrestrial",3,"Shrublands & shrubby woodlands",2,"T3.2","Seasonally dry temperate heaths and shrublands",2,"minor","T3.2.web.orig_v1.0.tif","T3.2.web.orig_v1.0.json","t3_2_web_orig_v1_0",NULL
13031,1,"T","Terrestrial",3,"Shrublands & shrubby woodlands",3,"T3.3","Cool temperate heathlands",1,"major","T3.3.web.alt_v4.0.tif","T3.3.web.alt_v4.0.json","t3_3_web_alt_v4_0",NULL
13032,1,"T","Terrestrial",3,"Shrublands & shrubby woodlands",3,"T3.3","Cool temperate heathlands",2,"minor","T3.3.web.alt_v4.0.tif","T3.3.web.alt_v4.0.json","t3_3_web_alt_v4_0",NULL
13041,1,"T","Terrestrial",3,"Shrublands & shrubby woodlands",4,"T3.4","Rocky pavements, screes and lava flows",1,"major","T3.4.web.mix_v1.0.tif","T3.4.web.mix_v1.0.json","t3_4_web_mix_v1_0",NULL
13042,1,"T","Terrestrial",3,"Shrublands & shrubby woodlands",4,"T3.4","Rocky pavements, screes and lava flows",2,"minor","T3.4.web.mix_v1.0.tif","T3.4.web.mix_v1.0.json","t3_4_web_mix_v1_0",NULL
14011,1,"T","Terrestrial",4,"Savannas and grasslands",1,"T4.1","Trophic savannas",1,"major","T4.1.web.mix_v1.0.tif","T4.1.web.mix_v1.0.json","t4_1_web_mix_v1_0",NULL
14012,1,"T","Terrestrial",4,"Savannas and grasslands",1,"T4.1","Trophic savannas",2,"minor","T4.1.web.mix_v1.0.tif","T4.1.web.mix_v1.0.json","t4_1_web_mix_v1_0",NULL
14021,1,"T","Terrestrial",4,"Savannas and grasslands",2,"T4.2","Pyric tussock savannas",1,"major","T4.2.web.orig_v1.0.tif","T4.2.web.orig_v1.0.json","t4_2_web_orig_v1_0",NULL
14022,1,"T","Terrestrial",4,"Savannas and grasslands",2,"T4.2","Pyric tussock savannas",2,"minor","T4.2.web.orig_v1.0.tif","T4.2.web.orig_v1.0.json","t4_2_web_orig_v1_0",NULL
14031,1,"T","Terrestrial",4,"Savannas and grasslands",3,"T4.3","Hummock savannas",1,"major","T4.3.web.orig_v1.0.tif","T4.3.web.orig_v1.0.json","t4_3_web_orig_v1_0",NULL
14032,1,"T","Terrestrial",4,"Savannas and grasslands",3,"T4.3","Hummock savannas",2,"minor","T4.3.web.orig_v1.0.tif","T4.3.web.orig_v1.0.json","t4_3_web_orig_v1_0",NULL
14041,1,"T","Terrestrial",4,"Savannas and grasslands",4,"T4.4","Temperate woodlands",1,"major","T4.4.web.orig_v1.0.tif","T4.4.web.orig_v1.0.json","t4_4_web_orig_v1_0",NULL
14042,1,"T","Terrestrial",4,"Savannas and grasslands",4,"T4.4","Temperate woodlands",2,"minor","T4.4.web.orig_v1.0.tif","T4.4.web.orig_v1.0.json","t4_4_web_orig_v1_0",NULL
